InternalName|ClientID|DescriptionText|DisplayName
3D-Sketch Constrain Visibility|||
3daDimHideExtLineCmd|||
3daDimPrecisionAngular0CtxCmd|||
3daDimPrecisionAngular1CtxCmd|||
3daDimPrecisionAngular2CtxCmd|||
3daDimPrecisionAngular3CtxCmd|||
3daDimPrecisionAngular4CtxCmd|||
3daDimPrecisionAngular5CtxCmd|||
3daDimPrecisionAngular6CtxCmd|||
3daDimPrecisionLinear0CtxCmd|||
3daDimPrecisionLinear1CtxCmd|||
3daDimPrecisionLinear2CtxCmd|||
3daDimPrecisionLinear3CtxCmd|||
3daDimPrecisionLinear4CtxCmd|||
3daDimPrecisionLinear5CtxCmd|||
3daDimPrecisionLinear6CtxCmd|||
3daDimPrecisionLinear7CtxCmd|||
3daDimPrecisionLinear8CtxCmd|||
3daDimShowAllExtLineCmd|||
3daEditDimCmd|||
3daEditTextCmd|||
3daGeneralNoteEdit|||
3DAHideAllAnnotationsCtxCmd|||
3daLeaderTextEdit||Edit the leader text symbol|Edit the leader text symbol
3daPromoteDimensionCmd|||
3DAShowAllAnnotationsCtxCmd|||
3daSingleSegmentLeader||Toggle Single-segment leader|Single-segment leader
3daSurfTxtEdit||Edit the surface texture symbol|Edit the surface texture symbol
3DAVisibilityCtxCmd||Dimension Visibility|Dimension Visibility
3dSketchUngroundCmd|||
_DrawingCommitViewCmd|||
AcadBlockChangeInsPointToModelSpace||Set Insertion Point as Model Origin|Model Origin
AcadBlockChangeInsPointToViewCenter||Set Insertion Point as View Center|View Center
AcadBlockDefDelete|||
AcadBlockRefSort||Sort by Name|Sort by Name
AcadBlockRefZoom|||
AcadInsertBlockInModelSpace|||
AcadInsertExBlockRef|||
ACRD:Mech:ComponentMap|{C6107C9D-C53F-4323-8768-F65F857F9F5A}|Location View|Location View
ACRD:Mech:SetLocation|{C6107C9D-C53F-4323-8768-F65F857F9F5A}|Installation && Location|Installation && Location
ACRD:Mech:SetProperty|{C6107C9D-C53F-4323-8768-F65F857F9F5A}|Electrical Properties|Electrical Properties
ACRD:Mechatronics:ProjectSetup|{C6107C9D-C53F-4323-8768-F65F857F9F5A}|Electromechanical Link Setup|Electromechanical Link Setup
ACRD:TpXmlReporter:CreateIsoDrawingCmd|{4D39D5F1-0985-4783-AA5A-FC16C288418C}|Creates an AutoCAD piping isometric drawing|Isometric Creation
ActivateConfigurationCtxCmd|||
ActivateDesignViewCmd||Activate Design View Representation|Activate Design View Representation
ActivateLODRepCtxCmd||Activate LevelofDetail|Activate LevelofDetail
ActivatePresentationCtxCmd|||
ActivateUCSCtxCmd|||
AddVertexCtxCmd||Add new vertex to the symbol|Add Vertex
AdjustAppearanceCmd||Adjust|Adjust
AEC_Exchange:Command:AuthorComponent|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Author Building Components|Author Building Components
AEC_Exchange:Command:Connector:Add|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Add Connector|Add Connector
AEC_Exchange:Command:Connector:Cable|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Cable Tray Connector|Cable Tray Connector
AEC_Exchange:Command:Connector:Conduit|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Conduit Connector|Conduit Connector
AEC_Exchange:Command:Connector:Delete|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Delete Connector(s)|Delete Connector(s)
AEC_Exchange:Command:Connector:Duct|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Duct Connector|Duct Connector
AEC_Exchange:Command:Connector:Edit|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Edit Connector|Edit Connector
AEC_Exchange:Command:Connector:Electrical|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Electrical Connector|Electrical Connector
AEC_Exchange:Command:Connector:IncludeChildren|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Promote Component Connectors|Promote Component Connectors
AEC_Exchange:Command:Connector:Link|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Link Connectors|Link Connectors
AEC_Exchange:Command:Connector:Pipe|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Pipe Connector|Pipe Connector
AEC_Exchange:Command:Connector:Suppress|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Suppress Connector(s)|Suppress Connector(s)
AEC_Exchange:Command:Connector:Unlink|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Delete Link|Delete Link
AEC_Exchange:Command:QualityCheck|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Design Quality Check|Check Design
AEC_Exchange:Command:ShareDesignPackage|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Export Building Components|Export Building Components
AEC_Exchange:Environment|{842004D5-C360-43A8-A00D-D7EB72DAAB69}||BIM Content
AEC_Exchange_Command_Include_Connector|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Include Connector|Include Connector
AEC_Exchange_Command_Shrinkwrap|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Shrinkwrap Substitute|Shrinkwrap Substitute
AEC_Exchange_Command_Source_Component|{842004D5-C360-43A8-A00D-D7EB72DAAB69}|Source Component|Source Component
AFG_CMD_Apply|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|&Apply|&Apply
AFG_CMD_Authoring|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Author a part for Frame Generator|Structural Shape Authoring
AFG_CMD_BreakReuseMember|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Break Reuse Members|Break Reuse Members
AFG_CMD_Chain_Selection|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Chain Select|Chain Select
AFG_CMD_ChangeProfile|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Change Frame Members|Change Frame
AFG_CMD_Continue|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|&Continue|&Continue
AFG_CMD_Demote|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Demote Frame Generator Components|Demote Frame Generator Components
AFG_CMD_EditEndCap|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Edit with Frame Generator|Edit with Frame Generator
AFG_CMD_EditReuseMember|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Change Reuse Members|Change Reuse
AFG_CMD_ExplodePCF|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Explode|Explode
AFG_CMD_InsertEndCap|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Place end caps into the frame structure|Insert End Cap
AFG_CMD_InsertProfile|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Insert Frame Members|Insert Frame
AFG_CMD_ISOLATE_ENDTREATMENT|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|&Isolate|&Isolate
AFG_CMD_Lengthen_Profile|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Lengthen - Shorten Frame Members|Lengthen - Shorten Frame Member
AFG_CMD_Lengthen_Profile_Edit|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Edit with Frame Generator|Edit with Frame Generator
AFG_CMD_Multiple_Selection|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Multi Select|Multi Select
AFG_CMD_Notch_Profile|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Notch Frame Members|Notch
AFG_CMD_Notch_Profile_Edit|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Edit with Frame Generator|Edit with Frame Generator
AFG_CMD_Promote|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Promote Frame Generator Components|Promote Frame Generator Components
AFG_CMD_Refresh|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Refresh|Refresh
AFG_CMD_ReuseMember|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Insert Reuse Members|Reuse
AFG_CMD_Sketch_Selection|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Sketch Select|Sketch Select
AFG_CMD_TrimProfile|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Corner Joint|Corner Joint
AFG_CMD_TrimProfile_Edit|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Edit with Frame Generator|Edit with Frame Generator
AFG_CMD_UNISOLATE_ENDTREATMENT|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|&Undo Isolate|&Undo Isolate
AFG_Cut_Profile_To_Face|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Trim and Extend to a Face|Trim - Extend To Face
AFG_Cut_Profile_To_Face_Edit|{AC211AE0-A7A5-4589-916D-81C529DA6D17}|Edit with Frame Generator|Edit with Frame Generator
